alpha.YIZ,beta.YIZ,gamma.YIZ,delta.YIZ,sigma.YIZ.0,gamma.sigma.YIZ.Fz,gamma.sigma.YIZ.D,alpha.XIZ,beta.XIZ,gamma.XIZ,delta.XIZ,sigma.XIZ.0,gamma.sigma.XIZ.Fz,gamma.sigma.XIZ.D,rho.XYIZ.0,gamma.rho.XYIZ.Fz,gamma.rho.XYIZ.D,Z.knee,l.knee,beta.YIZ.knee,delta.YIZ.knee,sigma.YIZ.0.knee,pi.1.,mu.Z.0,gamma.mu.Z.Fz,gamma.mu.Z.D,sigma.Z.0,gamma.sigma.Z.Fz,gamma.sigma.Z.D,mu.Z.min.0,gamma.mu.Z.min.Fz,gamma.mu.Z.min.D,sigma.Z.min.0,gamma.sigma.Z.min.Fz,gamma.sigma.Z.min.D
-0.0446354502396087,1.0228115930759174,0.0,0.0,0.25863012734463586,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0228115930759174,0.0,0.25863012734463586,1.0,1.1836090997882505,0.0,0.0,0.5943236898123075,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.011455181626919442,1.024046105533841,0.0,0.0,0.2641589884073113,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.024046105533841,0.0,0.2641589884073113,1.0,1.1694995966143518,0.0,0.0,0.5392729702740309,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
0.004742520146309714,0.9845216346685309,0.0,0.0,0.220444849315052,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.9845216346685309,0.0,0.220444849315052,1.0,1.1990083245213308,0.0,0.0,0.6461015604483956,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.004859939157352633,0.9689843023024115,0.0,0.0,0.19846651922398206,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.9689843023024115,0.0,0.19846651922398206,1.0,1.12807240284913,0.0,0.0,0.5312401677019378,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
0.006982445378559566,0.970496780587133,0.0,0.0,0.18378015909446893,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.970496780587133,0.0,0.18378015909446893,1.0,1.0560040086325535,0.0,0.0,0.5846638414968771,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
0.04054384216429574,0.989072169466843,0.0,0.0,0.17973700605693854,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.989072169466843,0.0,0.17973700605693854,1.0,1.0838367581914607,0.0,0.0,0.6368464924386689,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
0.035128744844634976,1.0088992849862162,0.0,0.0,0.18431829722822468,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0088992849862162,0.0,0.18431829722822468,1.0,0.9928497781673598,0.0,0.0,0.6187086615431869,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
0.013039230811855831,0.9867514345008627,0.0,0.0,0.20553302787699093,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.9867514345008627,0.0,0.20553302787699093,1.0,0.99160170676075,0.0,0.0,0.5902554881037517,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
0.00242885147012704,0.9814871010553962,0.0,0.0,0.24137199290819691,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.9814871010553962,0.0,0.24137199290819691,1.0,1.1498560087271767,0.0,0.0,0.643466030163996,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.008548580943497051,0.9768776406242771,0.0,0.0,0.24145867127825316,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.9768776406242771,0.0,0.24145867127825316,1.0,1.0979916372385197,0.0,0.0,0.5436688927859398,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
0.03334593975615702,0.9740364203864598,0.0,0.0,0.22544985737967455,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.9740364203864598,0.0,0.22544985737967455,1.0,1.054935405352517,0.0,0.0,0.5389592874684449,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.01747772287454237,0.9461471368838322,0.0,0.0,0.2714695064471651,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.9461471368838322,0.0,0.2714695064471651,1.0,1.0615586736095401,0.0,0.0,0.601302234494917,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
